rule_id,rule_text,rule_type,train_accuracy,val_accuracy,train_f1,val_f1,complexity,support,confidence,source_model,grammar_valid,dnf_valid,variables_used,n_predicates
RF_t16_r1,initial_heading_error <= 1.1877 AND initial_heading_error <= -1.5859 AND obstacle_heading <= 0.15 AND initial_distance_to_obstacle <= 1.9928,fail,0.8875,0.7500,0.8085,0.4211,4,1,0.7500,random_forest,True,True,initial_heading_error; obstacle_heading; initial_distance_to_obstacle,4
RF_t16_r2,initial_heading_error <= 1.1877 AND initial_heading_error <= -1.5859 AND obstacle_heading <= 0.15 AND initial_distance_to_obstacle > 1.9928,pass,0.8875,0.7500,0.8085,0.4211,4,1,0.5556,random_forest,True,True,initial_heading_error; obstacle_heading; initial_distance_to_obstacle,4
RF_t16_r3,initial_heading_error <= 1.1877 AND initial_heading_error <= -1.5859 AND obstacle_heading > 0.15,pass,0.8875,0.7500,0.8085,0.4211,3,1,1.0000,random_forest,True,True,initial_heading_error; obstacle_heading,3
RF_t16_r4,initial_heading_error <= 1.1877 AND initial_heading_error > -1.5859 AND initial_heading_error <= 0.4183 AND initial_speed <= 0.8804,fail,0.8875,0.7500,0.8085,0.4211,4,1,0.9744,random_forest,True,True,initial_heading_error; initial_speed,4
RF_t16_r5,initial_heading_error <= 1.1877 AND initial_heading_error > -1.5859 AND initial_heading_error <= 0.4183 AND initial_speed > 0.8804,fail,0.8875,0.7500,0.8085,0.4211,4,1,0.8387,random_forest,True,True,initial_heading_error; initial_speed,4
RF_t16_r6,initial_heading_error <= 1.1877 AND initial_heading_error > -1.5859 AND initial_heading_error > 0.4183,fail,0.8875,0.7500,0.8085,0.4211,3,1,0.6667,random_forest,True,True,initial_heading_error,3
RF_t16_r7,initial_heading_error > 1.1877 AND initial_distance_to_obstacle <= 1.6138,pass,0.8875,0.7500,0.8085,0.4211,2,1,0.9091,random_forest,True,True,initial_heading_error; initial_distance_to_obstacle,2
RF_t16_r8,initial_heading_error > 1.1877 AND initial_distance_to_obstacle > 1.6138 AND obstacle_heading <= 0.5497 AND initial_distance_to_obstacle <= 2.3715,fail,0.8875,0.7500,0.8085,0.4211,4,1,0.8571,random_forest,True,True,initial_heading_error; initial_distance_to_obstacle; obstacle_heading,4
RF_t16_r9,initial_heading_error > 1.1877 AND initial_distance_to_obstacle > 1.6138 AND obstacle_heading <= 0.5497 AND initial_distance_to_obstacle > 2.3715,fail,0.8875,0.7500,0.8085,0.4211,4,1,0.7143,random_forest,True,True,initial_heading_error; initial_distance_to_obstacle; obstacle_heading,4
RF_t16_r10,initial_heading_error > 1.1877 AND initial_distance_to_obstacle > 1.6138 AND obstacle_heading > 0.5497,pass,0.8875,0.7500,0.8085,0.4211,3,1,1.0000,random_forest,True,True,initial_heading_error; initial_distance_to_obstacle; obstacle_heading,3
RF_DNF_t16_pass,(initial_heading_error <= 1.1877 AND initial_heading_error <= -1.5859 AND obstacle_heading <= 0.15 AND initial_distance_to_obstacle > 1.9928) OR (initial_heading_error <= 1.1877 AND initial_heading_error <= -1.5859 AND obstacle_heading > 0.15) OR (initial_heading_error > 1.1877 AND initial_distance_to_obstacle <= 1.6138) OR (initial_heading_error > 1.1877 AND initial_distance_to_obstacle > 1.6138 AND obstacle_heading > 0.5497),pass,0.8875,0.7500,0.8085,0.4211,12,4,0.8662,random_forest_dnf,True,True,initial_heading_error; obstacle_heading; initial_distance_to_obstacle,12
RF_DNF_t16_fail,(initial_heading_error <= 1.1877 AND initial_heading_error <= -1.5859 AND obstacle_heading <= 0.15 AND initial_distance_to_obstacle <= 1.9928) OR (initial_heading_error <= 1.1877 AND initial_heading_error > -1.5859 AND initial_heading_error <= 0.4183 AND initial_speed <= 0.8804) OR (initial_heading_error <= 1.1877 AND initial_heading_error > -1.5859 AND initial_heading_error <= 0.4183 AND initial_speed > 0.8804) OR (initial_heading_error <= 1.1877 AND initial_heading_error > -1.5859 AND initial_heading_error > 0.4183) OR (initial_heading_error > 1.1877 AND initial_distance_to_obstacle > 1.6138 AND obstacle_heading <= 0.5497 AND initial_distance_to_obstacle <= 2.3715) OR (initial_heading_error > 1.1877 AND initial_distance_to_obstacle > 1.6138 AND obstacle_heading <= 0.5497 AND initial_distance_to_obstacle > 2.3715),fail,0.8875,0.7500,0.8085,0.4211,23,6,0.8002,random_forest_dnf,True,True,initial_heading_error; obstacle_heading; initial_distance_to_obstacle; initial_speed,23
RF_t63_r1,initial_heading_error <= 1.6066 AND initial_speed <= 0.467 AND obstacle_speed <= 0.8573,fail,0.8875,0.7500,0.8085,0.4211,3,1,0.7333,random_forest,True,True,initial_heading_error; initial_speed; obstacle_speed,3
RF_t63_r2,initial_heading_error <= 1.6066 AND initial_speed <= 0.467 AND obstacle_speed > 0.8573,pass,0.8875,0.7500,0.8085,0.4211,3,1,0.7000,random_forest,True,True,initial_heading_error; initial_speed; obstacle_speed,3
RF_t63_r3,initial_heading_error <= 1.6066 AND initial_speed > 0.467 AND initial_heading_error <= -1.0405 AND initial_heading_error <= -2.095,fail,0.8875,0.7500,0.8085,0.4211,4,1,0.7778,random_forest,True,True,initial_heading_error; initial_speed,4
RF_t63_r4,initial_heading_error <= 1.6066 AND initial_speed > 0.467 AND initial_heading_error <= -1.0405 AND initial_heading_error > -2.095,pass,0.8875,0.7500,0.8085,0.4211,4,1,0.5238,random_forest,True,True,initial_heading_error; initial_speed,4
RF_t63_r5,initial_heading_error <= 1.6066 AND initial_speed > 0.467 AND initial_heading_error > -1.0405 AND initial_distance_to_obstacle <= 2.4187,fail,0.8875,0.7500,0.8085,0.4211,4,1,1.0000,random_forest,True,True,initial_heading_error; initial_speed; initial_distance_to_obstacle,4
RF_t63_r6,initial_heading_error <= 1.6066 AND initial_speed > 0.467 AND initial_heading_error > -1.0405 AND initial_distance_to_obstacle > 2.4187,fail,0.8875,0.7500,0.8085,0.4211,4,1,0.7647,random_forest,True,True,initial_heading_error; initial_speed; initial_distance_to_obstacle,4
RF_t63_r7,initial_heading_error > 1.6066 AND obstacle_heading <= 0.4025 AND obstacle_heading <= -1.8501,pass,0.8875,0.7500,0.8085,0.4211,3,1,0.8889,random_forest,True,True,initial_heading_error; obstacle_heading,3
RF_t63_r8,initial_heading_error > 1.6066 AND obstacle_heading <= 0.4025 AND obstacle_heading > -1.8501,fail,0.8875,0.7500,0.8085,0.4211,3,1,0.7000,random_forest,True,True,initial_heading_error; obstacle_heading,3
RF_t63_r9,initial_heading_error > 1.6066 AND obstacle_heading > 0.4025,pass,0.8875,0.7500,0.8085,0.4211,2,1,1.0000,random_forest,True,True,initial_heading_error; obstacle_heading,2
RF_DNF_t63_pass,(initial_heading_error <= 1.6066 AND initial_speed <= 0.467 AND obstacle_speed > 0.8573) OR (initial_heading_error <= 1.6066 AND initial_speed > 0.467 AND initial_heading_error <= -1.0405 AND initial_heading_error > -2.095) OR (initial_heading_error > 1.6066 AND obstacle_heading <= 0.4025 AND obstacle_heading <= -1.8501) OR (initial_heading_error > 1.6066 AND obstacle_heading > 0.4025),pass,0.8875,0.7500,0.8085,0.4211,12,4,0.7782,random_forest_dnf,True,True,initial_heading_error; initial_speed; obstacle_speed; obstacle_heading,12
RF_DNF_t63_fail,(initial_heading_error <= 1.6066 AND initial_speed <= 0.467 AND obstacle_speed <= 0.8573) OR (initial_heading_error <= 1.6066 AND initial_speed > 0.467 AND initial_heading_error <= -1.0405 AND initial_heading_error <= -2.095) OR (initial_heading_error <= 1.6066 AND initial_speed > 0.467 AND initial_heading_error > -1.0405 AND initial_distance_to_obstacle <= 2.4187) OR (initial_heading_error <= 1.6066 AND initial_speed > 0.467 AND initial_heading_error > -1.0405 AND initial_distance_to_obstacle > 2.4187) OR (initial_heading_error > 1.6066 AND obstacle_heading <= 0.4025 AND obstacle_heading > -1.8501),fail,0.8875,0.7500,0.8085,0.4211,18,5,0.7952,random_forest_dnf,True,True,initial_heading_error; initial_speed; obstacle_speed; initial_distance_to_obstacle; obstacle_heading,18
RF_t73_r1,obstacle_radius <= 0.4835 AND initial_speed <= 1.3153,fail,0.8875,0.7500,0.8085,0.4211,2,1,0.5833,random_forest,True,True,obstacle_radius; initial_speed,2
RF_t73_r2,obstacle_radius <= 0.4835 AND initial_speed > 1.3153,pass,0.8875,0.7500,0.8085,0.4211,2,1,0.9231,random_forest,True,True,obstacle_radius; initial_speed,2
RF_t73_r3,obstacle_radius > 0.4835 AND initial_heading_error <= 0.8317 AND initial_speed <= 1.3324 AND initial_distance_to_obstacle <= 1.9928,fail,0.8875,0.7500,0.8085,0.4211,4,1,0.8788,random_forest,True,True,obstacle_radius; initial_heading_error; initial_speed; initial_distance_to_obstacle,4
RF_t73_r4,obstacle_radius > 0.4835 AND initial_heading_error <= 0.8317 AND initial_speed <= 1.3324 AND initial_distance_to_obstacle > 1.9928,fail,0.8875,0.7500,0.8085,0.4211,4,1,0.6364,random_forest,True,True,obstacle_radius; initial_heading_error; initial_speed; initial_distance_to_obstacle,4
RF_t73_r5,obstacle_radius > 0.4835 AND initial_heading_error <= 0.8317 AND initial_speed > 1.3324,fail,0.8875,0.7500,0.8085,0.4211,3,1,1.0000,random_forest,True,True,obstacle_radius; initial_heading_error; initial_speed,3
RF_t73_r6,obstacle_radius > 0.4835 AND initial_heading_error > 0.8317 AND obstacle_heading <= 0.4025 AND initial_speed <= 2.1713,fail,0.8875,0.7500,0.8085,0.4211,4,1,0.7619,random_forest,True,True,obstacle_radius; initial_heading_error; obstacle_heading; initial_speed,4
RF_t73_r7,obstacle_radius > 0.4835 AND initial_heading_error > 0.8317 AND obstacle_heading <= 0.4025 AND initial_speed > 2.1713,pass,0.8875,0.7500,0.8085,0.4211,4,1,0.6250,random_forest,True,True,obstacle_radius; initial_heading_error; obstacle_heading; initial_speed,4
RF_t73_r8,obstacle_radius > 0.4835 AND initial_heading_error > 0.8317 AND obstacle_heading > 0.4025,pass,0.8875,0.7500,0.8085,0.4211,3,1,1.0000,random_forest,True,True,obstacle_radius; initial_heading_error; obstacle_heading,3
RF_DNF_t73_pass,(obstacle_radius <= 0.4835 AND initial_speed > 1.3153) OR (obstacle_radius > 0.4835 AND initial_heading_error > 0.8317 AND obstacle_heading <= 0.4025 AND initial_speed > 2.1713) OR (obstacle_radius > 0.4835 AND initial_heading_error > 0.8317 AND obstacle_heading > 0.4025),pass,0.8875,0.7500,0.8085,0.4211,9,3,0.8494,random_forest_dnf,True,True,obstacle_radius; initial_speed; initial_heading_error; obstacle_heading,9
RF_DNF_t73_fail,(obstacle_radius <= 0.4835 AND initial_speed <= 1.3153) OR (obstacle_radius > 0.4835 AND initial_heading_error <= 0.8317 AND initial_speed <= 1.3324 AND initial_distance_to_obstacle <= 1.9928) OR (obstacle_radius > 0.4835 AND initial_heading_error <= 0.8317 AND initial_speed <= 1.3324 AND initial_distance_to_obstacle > 1.9928) OR (obstacle_radius > 0.4835 AND initial_heading_error <= 0.8317 AND initial_speed > 1.3324) OR (obstacle_radius > 0.4835 AND initial_heading_error > 0.8317 AND obstacle_heading <= 0.4025 AND initial_speed <= 2.1713),fail,0.8875,0.7500,0.8085,0.4211,17,5,0.7721,random_forest_dnf,True,True,obstacle_radius; initial_speed; initial_heading_error; initial_distance_to_obstacle; obstacle_heading,17
